claim_id,memo_path,line_ref,claim_short,source_id,source_url,status,confidence,last_verified_utc,next_refresh_date
MB001,memos/x402-research-memo.md,103,"x402 cumulative transactions 157.6M",x402_home,https://www.x402.org,conflict_with_current_counter,low,2026-02-09T18:41:00Z,2026-02-16
MB002,memos/x402-research-memo.md,104,"x402 cumulative volume $600M+",x402_home,https://www.x402.org,conflict_with_current_counter,low,2026-02-09T18:41:00Z,2026-02-16
MB003,memos/x402-research-memo.md,128,"90% drop after spike",x402_v2_launch,https://www.x402.org/writing/x402-v2-launch,method_needs_explicit_window,medium,2026-02-09T18:41:00Z,2026-02-16
MB004,memos/x402-value-capture-analysis.md,26,"157.6M and $600M+ by late Jan 2026",x402_home,https://www.x402.org,conflict_with_current_counter,low,2026-02-09T18:41:00Z,2026-02-16
MB005,memos/x402-value-capture-analysis.md,472,"0.6% stars-to-production conversion",x402_home,https://www.x402.org,needs_reproducible_query,low,2026-02-09T18:41:00Z,2026-02-16
MB006,memos/x402-value-capture-analysis.md,73,"53:1 buyer-seller ratio",x402_home,https://www.x402.org,needs_consistent_denominator,low,2026-02-09T18:41:00Z,2026-02-16
MB007,memos/agent-fintech-intersection-deep-dive.md,181,"~4% organic x402 volume",memos_anchor,memos/agent-fintech-intersection-deep-dive.md:181,method_pending,low,2026-02-09T18:41:00Z,2026-02-16
MB008,memos/agent-fintech-intersection-deep-dive.md,182,"ACP live in ChatGPT",stripe_sessions_2025,https://stripe.com/newsroom/news/stripe-sessions-2025,partial_direct_support,medium,2026-02-09T18:41:00Z,2026-03-09
MB009,memos/agent-fintech-intersection-deep-dive.md,183,"AP2 has 60+ partners",google_ap2_expansion,https://developers.googleblog.com/en/google-expands-agent2agent-protocol-for-payments/,supported,high,2026-02-09T18:41:00Z,2026-03-09
MB010,memos/agent-fintech-intersection-deep-dive.md,184,"TAP 100+ partners 30+ sandbox 20+ integrations",visa_tap_press,https://usa.visa.com/about-visa/newsroom/press-releases.releaseId.21476.html,supported,high,2026-02-09T18:41:00Z,2026-03-09
MB011,memos/agent-fintech-intersection-deep-dive.md,185,"Agent Pay all US cardholders enabled",mastercard_agent_pay_press,https://www.mastercard.com/news/press/2025/april/mastercard-unveils-agentic-payments-program-mastercard-agent-pay/,partial_direct_support,medium,2026-02-09T18:41:00Z,2026-03-09
MB012,memos/agent-fintech-intersection-deep-dive.md,250,"Coinbase tried to acquire BVNK for $2B",finextra_bvnk_report,https://www.finextra.com/newsarticle/46057/coinbase-reportedly-tried-to-buy-stablecoin-startup-bvnk-for-2bn,rumor_only,low,2026-02-09T18:41:00Z,2026-02-16
MB013,memos/fintech-investment-opportunities-2026.md,88,"Mastercard late-stage talks to acquire Zero Hash",coindesk_zerohash_report,https://www.coindesk.com/business/2025/12/10/mastercard-in-talks-to-acquire-crypto-infrastructure-firm-zero-hash-sources,rumor_only,medium,2026-02-09T18:41:00Z,2026-02-16
MB014,memos/fintech-investment-opportunities-2026.md,99,"Mastercard is acquiring Zero Hash",coindesk_zerohash_report,https://www.coindesk.com/business/2025/12/10/mastercard-in-talks-to-acquire-crypto-infrastructure-firm-zero-hash-sources,overstated_wording,low,2026-02-09T18:41:00Z,2026-02-16
MB015,memos/fintech-investment-opportunities-2026.md,107,"FedNow ~1,500 institutions",frb_comms_2026_fees,https://www.frbservices.org/news/communications/120425-general-announcing-2026-fees,supported,high,2026-02-09T18:41:00Z,2026-03-09
MB016,memos/fintech-investment-opportunities-2026.md,111,"US Treasury uses FedNow for FEMA disbursements",frb_comms_2026_fees,https://www.frbservices.org/news/communications/120425-general-announcing-2026-fees,not_found_in_current_source,low,2026-02-09T18:41:00Z,2026-02-16
MB017,memos/fintech-agents-intersection.md,57,"x402 157.6M tx and $600M+ volume",x402_home,https://www.x402.org,conflict_with_current_counter,low,2026-02-09T18:41:00Z,2026-02-16
MB018,memos/fintech-agents-intersection.md,248,"GENIUS Act signed July 2025 and provides clarity",congress_genius_bill_119_s_1582,https://www.congress.gov/bill/119th-congress/senate-bill/1582;signed-confirmation:https://www.whitehouse.gov/briefing-room/statements-releases/2025/07/18/fact-sheet-president-donald-j-trump-signs-the-genius-act-into-law/,supported,high,2026-02-09T18:52:00Z,2026-03-09
MB019,memos/investment-opportunities.md,294,"Mastercard | Zero Hash pending $1.5-2B",coindesk_zerohash_report,https://www.coindesk.com/business/2025/12/10/mastercard-in-talks-to-acquire-crypto-infrastructure-firm-zero-hash-sources,rumor_only,medium,2026-02-09T18:41:00Z,2026-02-16
MB020,memos/investment-opportunities.md,296,"Coinbase | BVNK $2B fell through",finextra_bvnk_report,https://www.finextra.com/newsarticle/46057/coinbase-reportedly-tried-to-buy-stablecoin-startup-bvnk-for-2bn,rumor_only,low,2026-02-09T18:41:00Z,2026-02-16
MB021,memos/fintech-market-analysis.md,104,"FedNow 1,500+ institutions and 1,200% YoY",frb_comms_2026_fees,https://www.frbservices.org/news/communications/120425-general-announcing-2026-fees,partial_direct_support,medium,2026-02-09T18:41:00Z,2026-03-09
MB022,memos/fintech-market-analysis.md,26,"Global fintech market $340B to $828B",memo_secondary_bundle,memos/fintech-market-analysis.md:26,secondary_needs_provider_level_citation,medium,2026-02-09T18:41:00Z,2026-03-09
